speed_bin,effort_bin,speed_desc,effort_desc,fitness,amp_0,amp_1,amp_2,amp_3
24,12,1.96,1.0,1.9645197194917634,0.7932138242948679,-0.6874520457658415,0.8195870900079893,-0.5672213826340506
24,13,1.96,1.08,1.9316590185369569,0.7491624120687481,0.7869138027547358,0.7606077232853052,0.6845530668107283
24,14,1.96,1.16,1.9258384608003527,-0.7192797687676125,-0.9651532190272532,-0.468635903812868,-0.8970080323897791
24,15,1.96,1.24,1.923842074654373,0.883077713476198,-0.7586893251126272,0.7922441648472607,-0.7992087087003814
24,17,1.96,1.4,1.915780075681867,0.8996041445717016,-0.9468535793490471,0.9285854882515936,-0.6684783536560512
24,16,1.96,1.32,1.9062888314713042,-0.8093186520425268,0.9329922455169588,-0.8205178444200321,0.8015960552213119
24,11,1.96,0.92,1.9051272066458804,-0.8556637401901832,-0.5147261021469858,-0.8333555594423656,-0.586078357156065
23,11,1.88,0.92,1.9000929997043994,-0.463308952926506,-0.8348564130290033,-0.6081303624886534,-0.8779695755395762
24,18,1.96,1.48,1.8966819788861313,-0.8785535548217256,0.8953130235165649,-0.95398198580974,0.6982850225315349
23,12,1.88,1.0,1.895526020646933,-0.7781567175623825,-0.6809867099193021,-0.738242353941017,-0.6662936929658487
23,13,1.88,1.08,1.8866785325936604,0.43548550584043144,0.8963434520747233,0.44457179758369203,0.9727421360111619
23,14,1.88,1.16,1.8820286895883063,-0.7154329496198948,-0.80306077290624,-0.5187496155640325,-0.9892190567800845
24,19,1.96,1.56,1.8726798451457545,-0.7981026863715512,-0.8876599771201299,-0.9331651840758215,-0.9449331278581259
23,15,1.88,1.24,1.8718476121562557,0.6781375592978793,-0.79105718714283,0.9642137422599644,-0.7106509563490062
23,16,1.88,1.32,1.8643985315908893,-0.9168667371467021,-0.6781909738808665,-0.9894496637319896,-0.6506373943272503
23,17,1.88,1.4,1.8570656437061672,0.9741013491782013,-0.9586977211739449,0.8439394329447527,-0.5609849245684846
24,20,1.96,1.64,1.8503804794562735,0.9272068022765754,-0.9882047281499395,0.8257220368953548,-0.9986319010347251
23,10,1.88,0.84,1.8432782613564243,0.8334980043197873,-0.46589399652467356,0.882205200509053,-0.44657351450824767
23,18,1.88,1.48,1.8400359790808638,0.7750488364746004,-0.9904904818910736,0.8084136449626207,-0.9782823812090033
23,20,1.88,1.64,1.8313902617524027,0.9574267647130532,-0.8762770495434207,0.9475349879710873,-0.8624358241474803
23,19,1.88,1.56,1.8268319016044767,-0.9512292503615878,0.8492662968902476,-0.9693595315376633,0.8230470331367621
22,11,1.8,0.92,1.8223411379302377,0.5720175999250152,0.7366659901154347,0.5315435633647261,0.833682349754483
23,21,1.88,1.72,1.820698466137833,-0.9840978522056958,-0.9653570275389041,-0.8650662971152485,-0.9368330417762212
22,10,1.8,0.84,1.8126505787589837,0.62797572412466,0.6545246549684836,0.61047951817059,0.7568385531041757
22,12,1.8,1.0,1.8107879629193244,0.9837906374591967,-0.5290496591964906,0.8112347941349756,-0.4427668815836552
22,13,1.8,1.08,1.8041666615239411,0.9213267730437549,0.6880073606992767,0.706302885791855,0.5981502643665633
22,14,1.8,1.16,1.7920769032787753,-0.4259440046587495,-0.9338186194186862,-0.845214881668449,-0.8510499295904295
22,15,1.8,1.24,1.775425687059722,0.9943865969556434,-0.49954016967940684,0.7574875986690608,-0.7991959706958647
22,16,1.8,1.32,1.7677903960544727,-0.9385447005659675,0.3135869769710584,-0.9908506303220999,0.8752568208977547
22,17,1.8,1.4,1.7663048426673225,-0.8366936418159527,0.9874215686694783,-0.982232396747859,0.41638950723005186
22,9,1.8,0.76,1.7647364490229676,0.7680469557379928,-0.5511627608309442,0.7085792863851803,-0.5068013821129171
21,11,1.72,0.92,1.7366706895882744,-0.5043460111080358,-0.817918550462444,-0.6655059608306204,-0.7006646172520932
21,9,1.72,0.76,1.7334005697961499,-0.7417743474058807,-0.5853646615335457,-0.6698962851207506,-0.5117243909607647
21,12,1.72,1.0,1.7317288568293046,-0.595507123932774,0.6015480702486979,-0.6244509184769069,0.9808921944460018
21,10,1.72,0.84,1.7288139836255598,0.7268675121117416,0.5849453311175543,0.5515975548021712,0.7925615425838439
21,13,1.72,1.08,1.715047105416181,-0.4171604889624412,-0.7583270249843779,-0.7852542301685903,-0.9813130162889463
21,14,1.72,1.16,1.7095502816267454,0.8123627314962278,0.953340733612132,0.30026119859608635,0.8998459140447599
21,15,1.72,1.24,1.6997118976524552,-0.24728753043374985,0.9061891574209036,-0.9084135607795956,0.9493869638665564
21,8,1.72,0.68,1.6883710911249952,0.6277517990289627,-0.634215539447464,0.6093224027873989,-0.5431258769042155
20,7,1.64,0.6,1.6824843169051849,0.4541870416937457,-0.6418235943409791,0.5255254169982251,-0.7143731555416122
20,8,1.64,0.68,1.6677391388394986,-0.6944694248799315,0.48207159243049835,-0.7589422787509472,0.42556277456297775
20,9,1.64,0.76,1.66724168397683,-0.5246235550857608,0.6643078201401049,-0.5009654066557931,0.808253725128971
21,16,1.72,1.32,1.6658775914715913,0.9404463503607294,0.8939597403504955,0.23964108915867355,0.9677620015620423
20,10,1.64,0.84,1.6611704036233517,0.6457930608135034,-0.4694155392681727,0.9221018156082237,-0.46452216571590776
20,11,1.64,0.92,1.651078714499353,-0.9515754965145518,-0.4997789287592944,-0.659655468330105,-0.46277476309962684
20,12,1.64,1.0,1.6408447386224265,-0.9235668106405173,0.48591105115022737,-0.9318573280871001,0.20875677638524825
20,13,1.64,1.08,1.639373258276491,-0.38978262783669404,-0.8356272626199945,-0.9502156236173405,-0.7054269398139867
20,14,1.64,1.16,1.6239859979481226,0.8408000743574682,-0.9619315428819242,0.2817892847630028,-0.8101325317253705
20,15,1.64,1.24,1.6182487498718856,0.36521080968806263,0.7342708793097266,0.9207613859854631,0.9931878080247205
20,16,1.64,1.32,1.6043582652795356,0.9915449454918612,0.8805892511195641,0.20384424280135982,0.9682879219288067
19,8,1.56,0.68,1.5936729404293757,0.5691011551678549,-0.8126361771992372,0.3778950800754457,-0.6576785189311645
19,9,1.56,0.76,1.5779352122995178,-0.4897903762293556,-0.8807503231538218,-0.3898029357013517,-0.6722883213508573
19,11,1.56,0.92,1.5653875819725567,-0.5068389438405472,-0.8202999138151696,-0.7464531874075839,-0.578973041408327
19,10,1.56,0.84,1.5631755703345085,0.4438135590253527,-0.6622539167745705,0.8733393837302532,-0.6241928419270466
19,12,1.56,1.0,1.5551298372502673,0.17347637487544842,-0.965806915683957,0.5779047726668729,-0.8966456190158973
19,14,1.56,1.16,1.5468134573272896,-0.9414733145748844,0.9421118681849419,-0.6077254742349378,0.4304439328815226
19,13,1.56,1.08,1.5376090440312584,-0.13377066355120393,0.9803156704551841,-0.6578227279735396,0.9163999566093108
19,16,1.56,1.32,1.4930912476207963,-0.9961405842533211,0.9058575812520286,-0.9600401515403747,-0.16282774889093266
18,11,1.48,0.92,1.490456725751169,-0.5150104725949296,0.4319593616079327,-0.959156498069889,0.6528010056167854
18,8,1.48,0.68,1.4897555056414944,0.46191674946892225,0.5206315724300554,0.7489866080368845,0.5831451776301673
18,10,1.48,0.84,1.485035511617715,-0.9829905389787785,0.3201026822104367,-0.6596759838668353,0.4489475804060785
18,9,1.48,0.76,1.484126826686483,0.8161298103339345,0.2222486790865641,0.7347261063375592,0.5866379218243769
19,15,1.56,1.24,1.4769238245698313,-0.6741839538573109,-0.9627216330190711,0.6014458998781678,-0.9392118141398993
19,17,1.56,1.4,1.4579634047943077,0.9808843578506445,0.9925301258782668,0.9592433622485759,-0.15382722739934485
19,20,1.56,1.64,1.450307490013882,0.934000507636084,-0.9177534901789912,0.9947843043897986,0.8698206394203523
19,22,1.56,1.8,1.4484995469469901,0.9930067874463246,-0.9499218209366875,-0.8912179395807738,-0.9938609642580243
18,14,1.48,1.16,1.4484254232891423,-0.9674496346690553,0.5479976441892982,-0.9546833180883165,-0.391420343047268
18,13,1.48,1.08,1.4400914881707674,-0.7854599696418025,-0.7733687881943418,-0.1994410660917818,-0.9892442224487563
18,12,1.48,1.0,1.4371136658402714,-0.9347880788643035,0.44192555060048155,-0.9471324360416511,-0.026729610671101245
18,15,1.48,1.24,1.4369232554300868,-0.9589604111787633,0.21871766767332002,-0.9366359433149587,-0.8922862993816045
19,21,1.56,1.72,1.421387095647388,-0.9334865301278672,0.9849238883601976,0.9583124545780612,0.8947501590053724
18,19,1.48,1.56,1.416745411125155,0.9596029525376253,0.8722802487847241,0.9304365127418153,-0.8465547719441482
18,18,1.48,1.48,1.4051131112608455,0.9399576398390745,-0.6892239436841796,0.9054282399085809,0.9281887126331496
17,11,1.4,0.92,1.3744411656475277,-0.8525581484192397,0.013271355990435385,-0.9649421347405331,0.3973099935072799
